Month,PriceLevel,NominalGDP,RealGDP,UnemploymentRate,InterestRate,ExchangeRate,PersonalIncomeTax,VAT,CorpTax,CapitalGainsTax,PropertyTax,TotalTaxes,UBIOutlays,OtherGovSpending,GovernmentDebt,Net,Emigrants,Immigrants,RemainingTaxpayers,AvgETR,SmallFirms,MediumFirms,LargeFirms,TotalInvestment,CorporateProfit,TotalCapacity,AvgWage,LaborForceParticipation,Exports,Imports,TradeBalance,TotalSavings,TotalConsumption,AssetPriceIndex,CreditGrowth
1,1.0020,4000000000000,4000000000000,0.0460,0.0100,0.9950,350818180257.48608410833333333,92396963463.14382673938243334,77661141350.000000000000000001,0,69793750000.00000,590670035070.62991084771576667,208000000000,6750000000000,22100000000000.00,-6367329964929.3700891522842333,53251,14,259946763,0.118255,6000000,300000,8000,97686747730.00000000000000000,566094880000.00000000000000001,1.0000,23193.546130952380952380952381,0.7570,79976047107.35553411623806513,165194317841.57822948201869659,-85218270734.22269536578063146,757785914931.2786656278700001,1319956620902.0546677054633333,1.0300,0.0575
2,1.0040,4000000000000,3992148774077.6472936558102397,0.0470,0.0100,0.9900,349739189766.86836087760416666,92191648238.42821050068427102,77982735494.861111111111111139,10316679127.5000000,69734911800.00000,599965164427.65768248939954882,207957410400,6750000000000,22600000000000.00,-6357992245972.3423175106004512,53128,11,259893646,0.118211,6000000,300000,8000,102112869600.59930555555555559,568439074222.22222222222222242,1.0000,23192.388392857142857142857143,0.7570,80216234232.47180351193783704,164897580835.92293825688212315,-84681346603.45113474494428611,758458836236.7398499902246997,1317023546263.2601500097753003,1.0609,0.0575
3,1.0060,4000000000000,3984117457303.3000579556479792,0.0480,0.0100,0.9851,348660648284.70471302968749999,91986893608.32531263338745974,78308637201.867550578703703686,20905608534.825000000,69676192953.12500,609537980582.84757624177866342,207914916800,6750000000000,23100000000000.00,-6348376936217.1524237582213366,53037,14,259840623,0.118168,6000000,300000,8000,102540162759.52440181539351849,570814667530.69740740740740728,1.0000,23191.230654761904761904761905,0.7569,80455755667.23488618529495003,164601666251.37786523696921733,-84145910584.14297905167426730,759127431547.7336290468458131,1314098480118.9330376198208535,1.0927,0.0575
4,1.0081,4000000000000,3976033752302.2072310613959854,0.0490,0.0100,0.9801,347584576396.98576699479166666,91783389469.09190780962153299,78636275099.515714455334948251,31774480915.36950000000,69617622134.37500,619396344015.33788925974814790,207872498400,6750000000000,23600000000000.00,-6338476154384.6621107402518521,52725,11,259787909,0.118125,6000000,300000,8000,102969732256.27728353807093339,573202916442.93914864936636538,1.0000,23190.072916666666666666666667,0.7569,80695275175.82033774330395422,164305754046.51147957670018970,-83610478870.69114183339623548,759796825203.4489360530257192,1311191278129.8843972803076142,1.1255,0.0575
5,1.0101,4000000000000,3967931186701.0892957542225348,0.0500,0.0100,0.9752,346515379236.70851296614583333,91581684387.98802395839282102,78964975763.435430524100690682,42931735890.8513250000000,69559418331.25000,629553193610.23329244863934503,207830327200,6750000000000,24100000000000.00,-6328277133589.7667075513606550,52406,19,259735522,0.118083,6000000,300000,8000,103400695157.07686947166450984,575598912170.82773958342189108,1.0000,23188.915178571428571428571429,0.7569,80935065604.82098827012909251,164009507135.47490217875066360,-83074441530.65391390862157109,760452013028.7425148801025569,1308309776971.2574851198974431,1.1593,0.0575
6,1.0122,4000000000000,3959823500945.9353699909823271,0.0510,0.0100,0.9704,345450681277.07790480807291666,91381725452.37592532243511292,79294463917.66645297729512999,54385584413.103725925000000,69501565853.12500,640014020913.34900903280315957,207788417600,6750000000000,24600000000000.00,-6317774396686.6509909671968404,52519,11,259683014,0.118040,6000000,300000,8000,103832690544.71376541598539876,578000648146.99920165682099307,1.0000,23187.757440476190476190476191,0.7569,81175266395.67893755499264476,163712753246.60297648156066767,-82537486850.92403892656802291,761079972168.4391620604507677,1305453220748.2275046062158989,1.1941,0.0575
7,1.0143,4000000000000,3951717670718.2324807410058024,0.0500,0.0100,0.9655,345301712838.81718792083333333,91480557616.42714133877295939,79300303579.87916331444177821,66143921070.67393583025000000,69443575365.62500,651670070471.42242840429807093,207746411200,6750000000000,25100000000000.00,-6306076340728.5775715957019291,51980,11,259631045,0.117997,6000000,300000,8000,103840346987.31679607134896420,578043215160.85039318044120789,1.0000,23188.915178571428571428571429,0.7569,81415958931.87637082487777880,163415391835.41064003748460775,-81999432903.53426921260682895,757457387027.2313142080053420,1306865108806.1020191253279914,1.2299,0.0575
8,1.0164,4000000000000,3943617722314.719211097686398,0.0510,0.0100,0.9607,344242604001.05403580494791666,91283742459.52476994810541651,79631007785.40540760984032886,78216399231.565071178957500000,69386208825.00000,662759962302.54928454185116203,207704836000,6750000000000,25600000000000.00,-6294944873697.4507154581488380,51788,6,259579263,0.117955,6000000,300000,8000,104273936752.60860877505864045,580453815292.24898485532813749,1.0000,23187.757440476190476190476191,0.7569,81657195240.37543479576174076,163117358625.65930060590167637,-81460163385.28386581013993561,758079862125.8366197889702403,1304053463707.4967135443630930,1.2668,0.0575
9,1.0185,4000000000000,3935526187943.5423807225287575,0.0500,0.0100,0.9559,344103393197.34638935651041666,91386067552.99857030404947120,79637933032.21961069352610413,90612691784.49542983250700000,69329044254.68750,675069129821.74750018659299199,207663410400,6750000000000,26100000000000.00,-6282594280578.2524998134070080,51812,11,259527462,0.117913,6000000,300000,8000,104283016516.61094438099538936,580504295451.25912122843629432,1.0000,23188.915178571428571428571429,0.7568,81899010896.38350212530362736,162818609666.28161343088528568,-80919598769.89811130558165832,754419784659.5442337516742209,1305515250757.1224329149924458,1.3048,0.0575
10,1.0206,4000000000000,3927444760925.0183999776662956,0.0510,0.0100,0.9511,343049389394.51131239088541666,91192400747.08605070257270817,79969639065.57628102204739262,103339781510.63612334736369275,69271830267.18750,686823040984.99726746286921020,207621969600,6750000000000,26600000000000.00,-6270798928615.0027325371307898,51534,13,259475941,0.117871,6000000,300000,8000,104717919788.91778280554763872,582922198200.10045391925206462,1.0000,23187.757440476190476190476191,0.7568,82141431534.83652661055685422,162519113286.82841762339689809,-80377681751.99189101284004387,754996876232.1040375822946451,1302748582101.2292957510386882,1.3439,0.0575
11,1.0227,4000000000000,3919374626731.5097137987251229,0.0500,0.0100,0.9464,342908060155.01623939062499999,91297442531.72178282628001723,79977509308.80420073856905331,116408348268.14338480561285348,69214900070.31250,699806260333.99810776108692401,207580752800,6750000000000,27100000000000.00,-6257774492466.0018922389130760,51820,11,259424132,0.117828,6000000,300000,8000,104728238547.66641438207574560,582979566715.65704410802043418,1.0000,23188.915178571428571428571429,0.7568,82384476428.76184542247791934,162218845676.61286152048277021,-79834369247.85101609800485087,751300758475.4031024817140397,1304249179024.5968975182859603,1.3842,0.0575
12,1.0248,4000000000000,3911316645150.4486543670687973,0.0510,0.0100,0.9416,341856434553.92673652994791667,91106851397.48907601374762935,80310120149.19076861687874690,129826765639.43701608984621690,69157707015.62500,712257878755.66859725042050982,207539305600,6750000000000,27600000000000.00,-6245281426844.3314027495794902,51442,14,259372704,0.117786,6000000,300000,8000,105164328121.99533739457817996,585404064868.81653661506148082,1.0000,23187.757440476190476190476191,0.7568,82628160589.84575723183934734,161917788289.58323669776919237,-79289627699.73747946592984503,751838856464.4417712321767235,1301526448535.5582287678232764,1.4258,0.0575
